past_negative,past_negative_raw,past_positive,past_positive_raw,present_fatalism,present_fatalism_raw,present_hedonism,present_hedonism_raw,future,future_raw,physical_activity,total_met,sex,age,population,education,physical_activity_level,physical_activity_importance
3,4.0,2,3.888888888888889,2,3.2222222222222223,2,3.3333333333333335,2,3.230769230769231,1,66.0,3,21,5,3,2,2
2,3.8,2,3.7777777777777777,2,3.3333333333333335,3,4.133333333333334,2,3.3846153846153846,1,25.9,1,21,1,3,5,5
2,3.0,2,3.4444444444444446,1,1.8888888888888888,2,3.533333333333333,2,3.3846153846153846,2,1205.0,3,21,5,3,3,4
2,2.8,2,3.6666666666666665,2,2.3333333333333335,2,2.8666666666666667,2,3.769230769230769,2,2226.0,1,22,1,3,4,4
2,3.8,2,3.6666666666666665,2,3.0,2,3.6,2,3.3076923076923075,2,732.0,1,21,2,3,4,4
2,3.4,2,3.6666666666666665,2,3.0,2,3.2,2,3.3076923076923075,1,0.0,1,21,4,4,4,5
3,4.0,2,3.111111111111111,2,3.2222222222222223,2,3.3333333333333335,2,2.6923076923076925,2,198.0,1,22,5,3,3,4
2,3.3,2,3.6666666666666665,2,2.888888888888889,2,3.2,3,4.0,2,409.5,1,22,5,3,3,4
2,2.9,2,2.888888888888889,2,3.2222222222222223,2,3.1333333333333333,2,3.076923076923077,1,160.0,1,21,5,3,2,3
2,3.1,2,3.6666666666666665,2,2.888888888888889,2,3.466666666666667,2,3.1538461538461537,2,2232.0,1,22,4,3,3,3
2,3.3,2,3.7777777777777777,2,2.3333333333333335,2,3.1333333333333333,2,2.5384615384615383,2,99.0,1,24,5,3,2,3
1,1.6,2,3.0,2,2.111111111111111,2,2.8,3,4.0,1,238.0,3,21,5,3,3,2
2,2.1,2,3.7777777777777777,2,2.3333333333333335,2,3.6,2,3.4615384615384617,2,1394.0,1,20,5,3,4,4
2,3.1,2,3.6666666666666665,2,3.0,2,3.4,2,3.769230769230769,2,876.0,1,29,5,4,4,4
2,3.1,2,3.2222222222222223,2,2.888888888888889,2,3.6,3,4.076923076923077,1,600.0,3,25,5,4,4,4
3,4.0,2,3.4444444444444446,2,3.0,2,3.7333333333333334,2,2.6923076923076925,2,746.0,3,35,2,4,4,4
2,3.9,2,2.6666666666666665,2,3.6666666666666665,2,3.3333333333333335,2,2.6923076923076925,2,984.0,1,37,4,4,4,3
2,2.8,1,1.6666666666666667,2,3.111111111111111,2,2.533333333333333,2,3.1538461538461537,2,873.0,3,27,5,4,4,4
2,2.7,2,2.5555555555555554,2,2.3333333333333335,2,3.4,2,3.6153846153846154,2,2946.0,1,24,4,4,4,3
2,2.5,2,3.3333333333333335,2,3.7777777777777777,3,4.6,2,3.4615384615384617,2,198.0,1,26,3,4,2,2
2,2.9,1,1.2222222222222223,2,2.7777777777777777,2,3.7333333333333334,2,3.6153846153846154,2,318.0,1,37,4,4,2,2
3,4.3,2,2.7777777777777777,2,3.7777777777777777,2,3.466666666666667,2,3.6153846153846154,2,819.0,3,23,5,4,5,4
3,4.6,2,2.4444444444444446,2,3.111111111111111,2,2.466666666666667,2,3.769230769230769,1,6.6,1,30,5,4,4,4
2,3.2,3,4.777777777777778,2,2.2222222222222223,2,3.066666666666667,3,4.3076923076923075,2,906.0,3,22,5,3,5,5
2,3.1,2,3.111111111111111,2,2.5555555555555554,2,2.8,2,2.769230769230769,1,1116.0,1,30,5,4,3,4
2,3.2,2,3.0,2,3.0,2,3.533333333333333,2,2.3076923076923075,2,2594.0,1,22,5,3,3,3
2,3.9,1,1.7777777777777777,1,2.0,2,3.1333333333333333,2,3.076923076923077,1,0.0,2,26,2,4,4,5
2,3.2,2,3.2222222222222223,2,3.6666666666666665,3,4.4,2,2.8461538461538463,2,99.0,1,43,5,4,3,3
2,3.1,2,3.5555555555555554,2,3.3333333333333335,2,3.066666666666667,2,3.5384615384615383,1,516.0,1,30,5,4,2,4
1,1.9,3,4.333333333333333,1,1.7777777777777777,2,3.2666666666666666,2,3.4615384615384617,2,1116.0,1,21,3,3,4,4
2,2.3,2,3.7777777777777777,2,2.4444444444444446,2,3.6666666666666665,2,2.769230769230769,2,600.0,1,20,5,3,4,4
2,2.1,2,2.6666666666666665,1,1.7777777777777777,2,2.8,2,2.769230769230769,2,360.0,3,18,2,3,3,3
2,2.9,2,3.111111111111111,2,3.2222222222222223,2,3.6666666666666665,2,2.769230769230769,2,1899.0,3,19,1,3,4,4
2,3.5,2,3.0,2,2.4444444444444446,2,3.533333333333333,2,2.769230769230769,1,80.0,1,20,5,3,4,5
2,2.1,3,4.222222222222222,2,2.3333333333333335,2,3.1333333333333333,2,3.3076923076923075,2,384.0,3,19,3,3,2,3
3,4.3,2,2.4444444444444446,2,2.7777777777777777,3,4.133333333333334,2,2.3846153846153846,1,0.0,1,18,2,1,2,4
1,1.8,2,3.6666666666666665,2,2.111111111111111,2,2.066666666666667,3,4.0,2,297.0,1,24,5,4,3,4
2,3.1,2,3.888888888888889,2,3.0,2,3.466666666666667,2,3.3076923076923075,2,438.0,3,55,3,4,5,5
2,2.5,2,3.2222222222222223,2,2.7777777777777777,2,3.6666666666666665,2,3.8461538461538463,2,932.0,1,31,4,4,5,5
3,4.3,2,2.2222222222222223,2,2.6666666666666665,2,2.466666666666667,2,2.923076923076923,2,99.0,3,21,5,3,2,4
2,3.3,2,3.3333333333333335,2,3.3333333333333335,2,2.8,2,2.6923076923076925,2,692.0,3,27,5,4,5,4
2,3.1,2,3.3333333333333335,2,2.6666666666666665,2,2.933333333333333,2,3.8461538461538463,1,0.0,1,29,3,4,2,2
2,2.9,2,3.3333333333333335,2,2.4444444444444446,2,3.2666666666666666,2,3.5384615384615383,2,1299.0,3,50,3,4,2,3
2,2.6,2,3.2222222222222223,2,2.5555555555555554,2,3.2666666666666666,2,3.4615384615384617,2,1986.0,1,42,5,4,2,3
2,3.3,2,3.5555555555555554,2,2.4444444444444446,2,2.8,2,3.230769230769231,1,66.0,1,28,5,4,3,2
2,2.4,3,4.555555555555555,2,3.888888888888889,3,4.133333333333334,2,3.4615384615384617,2,678.0,1,52,5,3,2,3
2,2.9,3,4.111111111111111,2,2.5555555555555554,2,2.933333333333333,2,3.5384615384615383,2,2316.0,1,53,5,3,5,5
2,3.2,2,3.3333333333333335,3,4.111111111111111,2,3.8666666666666667,2,2.5384615384615383,2,1282.5,1,20,5,3,3,4
2,2.9,3,4.666666666666667,2,3.3333333333333335,2,3.533333333333333,3,4.0,2,1716.0,1,38,4,4,4,5
2,3.6,2,3.2222222222222223,2,2.888888888888889,2,3.8,2,3.6923076923076925,2,1266.0,3,40,5,4,4,4
